handbag,0.982853,0,102,621,241
shangyi,0.824171,64,113,91,109
shangyi,0.758473,163,118,72,107
shoe,0.902347,408,252,37,58
headshoulder,0.739881,163,88,64,64
shangyi,0.654516,0,54,579,286
shangyi,0.766271,382,209,51,79
headshoulder,0.741878,423,159,67,58
shangyi,0.864413,18,6,412,312
shangyi,0.807865,292,180,92,98
headshoulder,0.969546,304,70,118,142
headshoulder,0.846053,143,25,151,129
shangyi,0.725866,288,165,216,139
headshoulder,0.969608,281,84,189,131
shangyi,0.809191,230,129,229,196
shangyi,0.980744,148,175,96,131
shoe,0.931672,253,283,44,52
headshoulder,0.834273,227,102,183,228
shangyi,0.864702,303,149,281,183
headshoulder,0.682906,56,116,233,176
shangyi,0.850667,394,117,125,165
shoe,0.911012,288,277,50,60
headshoulder,0.976619,132,79,93,136
headshoulder,0.782032,325,81,184,185
headshoulder,0.746711,148,92,62,98
shangyi,0.865597,294,161,134,171
headshoulder,0.820767,322,118,76,79
shangyi,0.985146,296,164,212,178
shangyi,0.714693,56,145,496,199
headshoulder,0.917682,342,61,138,149
headshoulder,0.853867,29,75,88,117
shangyi,0.982997,345,166,202,178
shangyi,0.894911,166,163,134,166
headshoulder,0.969341,386,80,134,133
headshoulder,0.968597,183,61,107,144
shangyi,0.978889,54,158,133,188
shangyi,0.947382,329,155,197,192
headshoulder,0.989869,56,72,116,132
headshoulder,0.927721,398,70,110,130
shangyi,0.995813,28,160,112,190
shangyi,0.989821,279,116,122,234
shangyi,0.870142,416,165,159,173
headshoulder,0.981693,298,28,115,122
headshoulder,0.942332,29,103,107,98
headshoulder,0.939778,455,83,103,110
shangyi,0.755639,358,238,273,113
headshoulder,0.987064,6,19,305,332
headshoulder,0.984168,335,1,296,350
headshoulder,0.995628,165,39,396,306
shangyi,0.772754,10,139,224,212
headshoulder,0.983337,42,21,191,193
headshoulder,0.957152,215,100,141,158
headshoulder,0.911766,360,94,173,168
shangyi,0.731246,330,221,299,130
headshoulder,0.987509,14,28,308,323
headshoulder,0.979262,333,27,298,307
shangyi,0.99342,108,197,113,146
shangyi,0.974295,309,137,283,214
headshoulder,0.981204,311,22,159,170
headshoulder,0.948794,109,134,96,91
headshoulder,0.687516,422,75,143,124
shangyi,0.994333,403,184,175,159
shangyi,0.986311,184,177,139,167
shangyi,0.939605,14,113,198,238
headshoulder,0.980752,52,10,139,180
headshoulder,0.96458,200,91,106,130
headshoulder,0.958222,417,90,142,157
headshoulder,0.791068,325,166,62,62
shangyi,0.997504,104,157,194,190
shangyi,0.992386,283,157,236,193
headshoulder,0.947446,114,55,165,148
headshoulder,0.909559,296,32,193,183
headshoulder,0.822545,50,79,93,83
shangyi,0.980085,360,143,82,130
shangyi,0.960568,251,139,91,160
headshoulder,0.864313,260,102,75,70
shangyi,0.987383,270,126,125,188
shangyi,0.802438,128,123,97,218
headshoulder,0.937131,146,47,86,124
headshoulder,0.70988,290,70,94,97
shangyi,0.993881,42,149,72,84
shangyi,0.95571,153,129,118,203
shangyi,0.933981,250,135,119,185
shangyi,0.893995,147,112,339,226
shangyi,0.767396,395,138,170,179
pants,0.990557,49,227,55,85
headshoulder,0.978971,150,42,108,115
headshoulder,0.934268,50,120,45,48
headshoulder,0.812339,257,69,97,98
shangyi,0.989736,26,144,78,83
shangyi,0.971362,183,126,110,209
shangyi,0.918789,289,144,114,171
shangyi,0.905834,233,132,337,209
shangyi,0.826436,396,127,157,213
pants,0.992476,43,228,50,79
headshoulder,0.980194,186,44,95,118
headshoulder,0.974104,303,78,95,82
headshoulder,0.891156,41,114,44,48
shangyi,0.993836,169,129,113,183
shangyi,0.947982,64,130,105,203
shangyi,0.841497,72,127,300,217
shangyi,0.777543,453,137,106,160
shangyi,0.675304,286,137,114,195
headshoulder,0.987032,63,58,94,102
headshoulder,0.97449,467,68,93,88
headshoulder,0.830407,309,78,94,98
shangyi,0.99202,291,112,113,169
shangyi,0.989008,58,150,59,78
shangyi,0.968899,166,131,94,198
shangyi,0.87987,392,145,148,201
pants,0.949903,57,215,58,79
headshoulder,0.982026,173,48,90,115
headshoulder,0.968212,300,64,95,79
headshoulder,0.740538,57,114,51,55
shangyi,0.994505,234,121,196,227
headshoulder,0.806333,273,37,132,164
shangyi,0.986479,178,179,216,172
headshoulder,0.90992,211,72,162,148
handbag,0.906948,12,90,417,253
shangyi,0.733901,88,49,485,302
shangyi,0.792722,123,211,310,140
headshoulder,0.996759,146,30,297,247
headshoulder,0.983096,57,0,361,206
headshoulder,0.989535,237,43,222,221
headshoulder,0.991689,12,0,336,343
headshoulder,0.998154,0,0,338,351
headshoulder,0.990336,0,0,306,349
headshoulder,0.974732,67,104,57,58
headshoulder,0.950727,212,133,64,80
dress,0.827342,151,154,53,83
headshoulder,0.990312,149,14,68,95
headshoulder,0.967346,336,60,64,94
headshoulder,0.947862,339,50,69,63
headshoulder,0.782507,66,151,95,107
shangyi,0.968503,9,141,152,187
headshoulder,0.859412,41,69,109,125
shangyi,0.88174,335,174,287,177
headshoulder,0.972826,330,16,267,265
handbag,0.864074,250,91,268,194
shangyi,0.952817,419,179,79,117
dress,0.673596,3,203,69,104
headshoulder,0.997968,138,21,313,330
shangyi,0.970793,1,105,40,84
shangyi,0.929782,62,159,67,98
pants,0.91193,61,227,52,111
shangyi,0.967023,416,97,182,189
shangyi,0.912894,27,96,158,217
shangyi,0.875147,375,30,245,281
headshoulder,0.938854,294,19,127,153
headshoulder,0.829196,180,58,117,152
shangyi,0.936792,130,158,78,117
headshoulder,0.835334,147,133,48,58
shangyi,0.973071,145,174,270,168
headshoulder,0.974713,177,29,228,196
shangyi,0.688141,271,160,47,65
headshoulder,0.830286,271,140,43,55
headshoulder,0.93441,63,24,201,159
headshoulder,0.875117,115,29,235,292
shangyi,0.781853,0,189,384,162
headshoulder,0.98851,22,32,340,264
headshoulder,0.994147,79,62,345,247
shangyi,0.884618,32,225,266,126
headshoulder,0.990593,33,85,247,246
shangyi,0.661284,395,224,32,61
shangyi,0.979992,216,117,91,112
shangyi,0.967397,347,134,110,133
shangyi,0.904893,131,103,61,116
shangyi,0.863241,435,95,76,194
dress,0.781005,232,209,75,57
dress,0.760872,356,235,93,74
pants,0.945505,451,272,43,75
pants,0.90653,143,155,58,106
headshoulder,0.947766,518,30,73,78
headshoulder,0.928749,450,47,53,93
headshoulder,0.735509,128,69,53,55
headshoulder,0.727055,216,85,76,65
shangyi,0.733076,561,137,59,121
shangyi,0.713406,374,147,112,110
headshoulder,0.970881,59,83,102,142
headshoulder,0.935382,481,85,89,99
headshoulder,0.878688,551,67,77,98
headshoulder,0.863269,377,60,95,123
headshoulder,0.822761,304,99,115,124
shangyi,0.893198,294,197,41,60
shangyi,0.980101,194,117,100,90
shangyi,0.690665,542,54,28,35
shangyi,0.654187,81,57,95,151
headshoulder,0.728978,207,82,76,65
shangyi,0.901596,446,108,48,57
headshoulder,0.978679,27,63,77,84
headshoulder,0.940978,456,85,38,44
shangyi,0.996949,96,113,184,161
headshoulder,0.719156,111,35,163,135
shangyi,0.969726,381,206,225,140
shangyi,0.656971,149,200,471,147
headshoulder,0.944112,381,24,232,281
headshoulder,0.90993,166,33,231,279
shangyi,0.971887,99,133,86,113
shangyi,0.944628,50,181,65,97
shangyi,0.832096,254,154,78,84
shangyi,0.821001,380,153,53,70
dress,0.919917,272,193,61,81
dress,0.915312,328,180,71,95
dress,0.7191,380,159,62,95
pants,0.951842,393,246,55,84
pants,0.914083,272,265,54,80
pants,0.903939,194,228,58,123
headshoulder,0.947586,105,94,67,69
headshoulder,0.703639,481,51,64,69
headshoulder,0.691634,261,117,60,58
headshoulder,0.99087,244,52,309,254
headshoulder,0.98444,0,0,183,317
shangyi,0.991546,133,124,225,220
headshoulder,0.988521,159,6,187,169
shangyi,0.986715,411,106,212,243
shangyi,0.93699,60,228,283,123
headshoulder,0.961769,406,11,185,177
headshoulder,0.91705,0,67,114,191
shangyi,0.797937,455,182,176,169
headshoulder,0.826714,468,6,155,304
headshoulder,0.991184,143,26,297,235
headshoulder,0.989363,6,36,179,192
shangyi,0.957296,269,100,122,212
