101,1
232,4
353,1
756,2
858,2
974,2
1109,2
1232,1
1345,2
1446,1
1619,1
1933,1
2070,1
4844,4
5051,2
5152,4
5306,4
5572,4
6140,6
6942,3
7342,1
7483,4
7752,3
7948,5
8135,7
8335,4
8459,1
8561,3
8668,4
8802,9
9697,9
9845,8
10154,8
10487,2
10590,2
10720,1
11088,1
11282,2
11473,1
11650,1
11761,1
11872,1
12176,1
12277,2
12584,3
12695,2
12809,2
12919,2
13247,1
13389,2
13579,1
13711,3
13873,5
13989,2
14127,2
14261,2
14365,1
14476,1
14748,2
14866,1
14979,2
15087,1
15203,12
15476,7
15612,1
15916,4
16019,3
16121,2
16263,4
16492,13
16611,2
16749,2
16853,4
16967,2
17142,2
17573,3
17718,1
17822,1
17968,2
18103,1
18226,1
18333,3
18454,2
18562,3
18677,2
18909,1
19230,2
19581,2
19769,2
19980,1
20085,2
20296,3
20460,1
20565,2
20827,1
21083,1
21257,2
21480,1
21611,2
21834,2
22121,1
22231,2
22485,1
22587,4
22791,4
23040,1
23174,1
23327,1
23447,6
23788,4
23984,1
24108,3
24457,4
24568,4
24799,4
24990,3
25127,4
25268,5
25436,4
25618,4
26017,4
26170,3
26293,1
26415,1
26537,1
26646,1
26769,1
26980,1
27101,1
27419,1
27521,1
27662,3
27792,1
27973,1
28132,1
28290,1
28495,1
28634,1
28850,1
28977,1
29164,1
29313,2
29541,2
29646,6
30455,1
30557,2
30664,3
30790,2
31206,2
31318,1
31427,2
31528,2
31672,5
31783,4
31952,3
32055,3
32238,6
32450,4
32662,5
32882,4
33091,4
33298,3
33469,5
33677,8
33786,4
34006,4
34109,3
34223,7
34405,8
34590,7
34806,6
34925,4
35029,6
35225,1
35386,4
35494,1
35686,6
35854,2
35973,1
36136,2
36292,4
36414,4
36606,6
36770,5
36873,2
36980,1
37110,2
37241,6
37412,2
37941,2
38160,2
38420,2
38726,1
38976,2
39218,1
39417,1
39520,2
39631,1
39746,1
40086,4
40195,3
40409,2
40646,3
40808,4
41124,3
41255,2
41459,1
41573,1
41737,3
41895,2
42021,5
42318,2
42631,1
42752,1
42873,1
43008,1
43124,1
43289,2
43491,1
43663,3
43764,1
44018,4
44222,1
44327,2
44459,1
44628,1
44735,1
44849,1
45060,1
45238,2
45422,3
45528,1
45630,3
45783,1
45901,2
46066,3
46233,1
46381,2
46495,1
46651,5
47363,1
47470,1
47585,2
47695,1
47797,1
47908,1
48015,2
48129,3
48242,1
48420,2
49400,1
49540,1
49674,1
49987,6
50132,1
50462,2
50623,1
50726,1
50949,1
51153,1
51267,1
51384,1
51524,1
51637,1
51741,1
51880,1
52076,1
52222,1
52352,1
52481,1
52694,1
52823,1
52947,1
53104,2
53524,1
53646,2
53760,2
53954,1
54104,2
54293,2
54422,1
54571,1
54794,1
54949,2
55095,1
55396,2
55547,1
55759,1
55928,5
